term,anchor,notes
Auth mutations,auth-mutations,the card subject; planned for 0.0.13 -> shipped at Slice 3
DjangoMutation,djangomutation,the 036 base the register rider subclasses
DjangoMutationField,djangomutationfield,reused unchanged to expose the register rider
DjangoFormMutation,djangoformmutation,source of the pinned { ok errors } payload shape logout reuses
DjangoModelPermission,djangomodelpermission,the write-auth default the auth AllowAny inversion is defined against
FieldError,fielderror-envelope,the frozen envelope every auth mutation returns
DjangoType,djangotype,the consumer-declared user type the payloads resolve
DjangoOptimizerExtension,djangooptimizerextension,the register payload re-fetch rides the G2 path
SerializerMutation,serializermutation,the sibling 0.0.13 card whose release flips land in Slice 3
ConfigurationError,configurationerror,bind validation / post-finalize factory raise
SyncMisuseError,syncmisuseerror,async permission hooks rejected; never a silent allow
finalize_django_types,finalize_django_types,phase 2.5 bind via bind_auth_mutations()
get_queryset,get_queryset-visibility-hook,the visibility hook deliberately NOT re-run for the session actor
apply_cascade_permissions,apply_cascade_permissions,the cascade seam named in the visibility discussion
Meta.primary,metaprimary,the registry primary lookup resolving the user type
Meta.model,metamodel,the register rider's synthesized Meta
Meta.fields,metafields,the register rider's narrowed safe field set
Meta.interfaces,metainterfaces,the consumer UserType's Relay declaration
Input type generation,input-type-generation,the model-column generator reused unchanged (narrowed)
only() projection,only-projection,suppressed under the mutation G2 gate on the re-fetch
Definition-order independence,definition-order-independence,why the factories defer type resolution to bind
Cross-subsystem invariants,cross-subsystem-invariants,the envelope-shared-across-flavors invariant
DjangoGraphQLProtocolRouter,djangographqlprotocolrouter,the 0.0.14 Channels card the fallback defers to
TestClient,testclient,the 0.0.14 test-client card; live auth tests use the raw Django client
GraphQLTestCase,graphqltestcase,the 0.0.14 companion helper; out of scope pointer
FieldSet,fieldset,0.1.1 read gates composing on top; out of scope pointer
Per-field permission hooks,per-field-permission-hooks,0.1.1 read gates; out of scope pointer
DjangoListField,djangolistfield,the field-factory idiom precedent
DjangoNodeField,djangonodefield,the field-factory idiom precedent
Strictness mode,strictness-mode,unplanned deep selections under me remain strictness-visible
